,text
171,“ mike bloomberg: four issues that could derail his white house bid – video” 
172,klobuchar buttigieg to join biden on stage on super tuesday eve via 
173,klobuchar buttigieg to back biden at rally in super tuesday state of texas 
174,pete buttigieg pulls out of democratic presidential race (via _ie) 
175, buttigieg and klobuchar to endorse biden • opinion: klobuchar's exit is a strong 
176,damn biden better win this thing pete mf'ing buttigieg is the man 
177,we got rid of buttigieg klobuchar and chris matthews in hours retrograde is taking out the trash do y’all h… 
178, buttigieg and klobuchar to endorse biden • opinion: klobuchar's exit is a strong 
179,klobuchar buttigieg to join biden on stage on super tuesday eve 
180,what’s next for pete buttigieg few expect mr buttigieg the former mayor and now former presidential candidate t… 
181, i just tweeted something about moore's tinfoilhatcrazy tirade on the beat he's going off on… 
182, 😔😔😔😔😔😔😔😔😔😔😔 buttigieg drops out styer drops out the coronavirus and now not my chris matthews 😔😔😔😔 
183,sources: klobuchar & buttigieg to endorse biden tonight; bloomberg on the ballot for the first time as democrat tom… 
184,if buttigieg endorses biden it just proves (yet again) how fucking corrupt and out of touch the dnc is they did t… 
185," it's called selling your soul i'm pretty certain that buttigieg and klobuchar both received some ""… "
186,i hope there’s some drama at the biden+klobuchar+buttigieg rally tonight i’m bored
187,“mike bloomberg the former new york city mayor is pouring almost half a billion dollars of his vast fortune into… 
188, all the people in this thread saying kamala harris good for you she is great however there was a l… 
189,tom steyer pete buttigieg an amy klobuchr ended their campaigns joe biden bernie sanders should end their campaigns
190,in hours bernie has broken up public enemy made chris matthews retired and ended pete buttigieg and amy klobu… 
191,what's going on how pete buttigieg went from winning iowa to withdrawing from the presidential race south bend t… 
192, i was a buttigieg supporter i'm still disgusted at biden who pandered for votes in by going geese… 
193,the deep state/dnc has made their pick”report: pete buttigieg likely to endorse joe biden” 
194,"making the connection in texas between early voting and ranked choice voting 

hundreds of thousands of such indiv… "
195, hey chumpu better get a good lawyer buden going to make senator harris agyou and all ur cr… 
196,why maga is a lie according to pete buttigieg 
197,pete buttigieg might be the most progressive candidate ever to run for president | charles kaiser 
198," three months ago i would have chosen bernie after harris warren buttigieg 

now no 

biden

it… "
199,i think the hope was that if all of us were going to be expected to support biden or buttigieg if they want the nom… 
200,"i guess this is her ""bitchy"" side showingmarianne williamson rips buttigieg klobuchar for endorsing biden "
201, if you're following what you're saying and would vote for buttigieg over sande… 
202,true: buttigieg warned “we’re not going to win these critical critical house and senate races if people in those… 
203, _smith buttigieg: vp& va he could do both 🤷🏼‍♀️
204,"""buttigieg and klobuchar prepare to endorse biden aiming to slow sanders"" by alexander burns jonathan martin and… "
205,buttigieg dropped out klobuchar is dropping out and chris matthews is finally leaving msbnc i j keep winning~
206,"msnbc executives already calling buttigieg to see if he's interested in joining the network and getting a show

i am speculating"
207,any comments or suggestions for buttigieg 
208,"cc: minnesotans who voted early for klobuchar or buttigieg

"
209, voted early for buttigieg but if could vote tomorrow biden
210,i've seen two buttigieg and klobuchar commercials tonight this feels like when i wish a happy birthday to someone… 
211,"my buttigieg coverage: 

dnc bid: 
the run: 
the launch:… "
212,how paddy gower and pete buttigieg are the same 🐀🐀🐀 
213, no need for the abuse his platform is a lot closer to bernie’s tha… 
214,klobuchar and buttigieg making national fools of themselves during their presidential bids and promptly running to… 
215, softball with pete buttigieg
216, i do not know if bernie is the inly person who can win that campaign but i have zero faith in either bid… 
217,trump falsely accuses biden of quid pro quo after buttigieg and klobuchar drop out 
218,point but now with buttigieg and klobuchar so obviously throwing immediate support to biden it smells as thou… 
219,let's just hope more than those who turn to biden smartnews
220, buttigieg was merely a trial balloon for a gay presidential hopeful by the dems he or some equivalen… 
221,buttigieg set to endorse biden as super tuesday looms smartnews
222,nolte: pete buttigieg’s failed campaign was built on hate and lies via 
223,at the biden/klobichar/buttigieg rally it's a bunch of boomers waiting get into the opening night of a high schoo… 
224,ok so re: cbsnews biden may offer a position to buttigieg yet says klobuchar had a great race double standa… 
