,text
268, because biden didnt fire anyone up klobuchar buttigieg and beto fired everyone… 
269, i do not know why they chose the doddering handsy old man over the somewhat charismatic buttigieg… 
270, _you medicare for all who want it was buttigieg's policy lmaooo
271,pete buttigieg_thankyou to supporters audio via 
272,_prairie _ oh god yeah i feel like we're all just expecting it rightfully alt… 
273, does not really address my point about bidenbloomberbuttigieg delegate merger (unless i'm missing something) tho
274," who do you define as ""us""

biden & buttigieg are ccp chimps… "
275, biden got buttigieg and klobuchar's voters
276, here’s the recording of the call mike schmuhl is talking first beginning of it is missing pete but… 
277,if you think pete buttigieg is conservative you need to get off twitter spend some time in the real world and pr… 
278, can i ask why you support bernie i'm personally right wing and i'm not really too involved with the le… 
279,"//
where are those 
 voters

only americans states voted in the ""winner take all""… "
280,klobuchar ends bid set to join buttigieg in biden endorsement ahead of super tuesday 
281,klobuchar ends bid set to join buttigieg in biden endorsement ahead of super tuesday 
282,_sandoval when aoc ilhan omar & rashida tlaib young dem stars pu… 
283,"“they used to call me pete bootychug back in high school because i’m an enema of the state”
pete buttigieg"
284, horrible comment but only like not really a huge deal but then you have some of the more toxic le… 
285," good choices

my order of preference would be:
biden/abrams
biden/warren
biden/buttigieg 
biden/klobuchar"
286,i really do trust bernie i think he's deeply earnest and committed to his causes by contrast for example buttig… 
287, maybe biden/harris or biden/buttigieg
288,"vice president pete buttigieg 

maketrumpnervousinwords "
289, thx for sharing i read this when it came out and found it disappointing pete buttigieg and tom steyer… 
290, but yhats not truebiden buttigieg klobachar i think warrenspoke remotely/se… 
291,"and here i was wondering how the dnc was gonna screw bernie once again and then this bomb dropped

and the circu… "
292,_polling buttigieg and klobuchar both gave the nod to biden
293, yet ur dems ran not but two mayors diblasio & buttigieg (the mayor bein… 
294, bruh idontlikejoebiden either but buttigieg got way more… 
295,yet ur dems ran not but two mayors diblasio & buttigieg (the mayor being the person who controls the police… 
296,im off that buttigieg pack speakin different languages 
297,"not gonna name names but this is a bigger problem among supporters of some candidates than others 

eg i never m… "
298," yeahhe built it 🙄
"
299, joe please pete buttigieg your right hand man brilliant a political powerhouse do not… 
300,i hate this pete buttigieg looking mf and his annoying twink energy fuck him fuck him 
301,pete buttigieg on pusg be like “amnesiac is like the american people enigmatic yet welcoming”
302, buttigieg for vp abrams has no experience & too much debt pandering to… 
303,anyone seeking public office ought to be of good character i do not think any decent person should respond vindicti… 
304, what’s happening to him now has lot to do with clyburn & duckworth along with klobuchar & buttigieg but… 
305, i voted in person early in virginia as a disabled senior i was still undecided as i looked at the bal… 
306, i was hoping for a sanders/buttigieg or yang ticket
307,"""the real super tuesday winner was pete buttigieg

he is everything that has ever made america great""… "
308,bernie sanders curses like magnus and taako pete buttigieg curses like fitzroy maplecourt
309, tell that to hillary all the major players in the dnc biden buttigieg etc etc etc
310,breaking news: pete buttigieg declares victory in the fight against coronavirus
311,i am worried about joe he’s old and what about his record sure he’s on the ball now but will he always be americ… 
312,why is the gay presidential candidate buttigieg silent about iran hanging gays …… 
313, i dont know about klobuchar but buttigieg has changed the pronunciation of his name several times… 
314,_inspace you think buttigieg and amy dropped out the day before super tuesday because they wanted… 
315,bernie sanders is my dad elizabeth warren is my mom joe biden is my grandfather bloomberg is my uncle tulsi gab… 
316, nate you had bernie in your second tier of candidates for almost all of below harris and buttigieg
317," biden sure as hell does it's public record

"
318,gop lawmaker deletes post saying pete buttigieg is ‘used to’ getting sexually assaulted by joe biden 
319, _milano the momentum is not real the momentum was caused by buttigieg and klobuchar droppi… 
320, you’re speaking of alienating why didn’t you think of that when you called buttigieg a cryptoracist
321, those (especially buttigieg) kept pretending to be the most progressive candi… 
322, _kaveman that chicken gonna be as bland as buttigieg
