,text
317,"berniebros 
bernieorbust 
riggedprimary
democraticprimary
supertuesdayresult
when they write the history o… "
318,bernie sanders was on every ballot in every state yesterday if his message did not resonate with the steyer butti… 
319,"just added s aggregate

% warren to bernie=
sanders and biden tie at %
% bloom and biden to bernie= sanders… "
320,bernie sanders calls on the corporate media to knock it off with the trash talk and start discussing issues that am… 
321, __goner i hate to be the one to point this out to you but this is the second time the party establish… 
322, _lab i think there's a noticeable difference between sanders and warren on 
323,everyone is endorsing biden because they fear sanders sheep
324, like i always say; bernie sanders is a sore loser and a sore winner
325," this is not remotely true

warren's supporters would likely have split evenly between biden and sanders"
326, bidensanders ticket
327, i don’t have trouble distinguishing between the two but i do have trouble with one side of this divide b… 
328, oh stop it if sanders was as great a candidate as you say he was… 
329,"sanders fracking ban does not scare dems in colorado's oil field: financial post 

more w/ e… "
330, if he is not suspending his campaign bernie sanders's full of shit then
331, biden abrams republicans and now apparently sanders supporters hate warren
332,biden vs sanders who's got the bigger proposals for national development
333, he's *trying* but a lot more is needed sanders looks very comfortable with embattled rhetoric but not as… 
334, i'd vote for that the warren campaign needs more ruthless doubledown trolling of the sanders campaign
335, just cut off bernie sanders presser to have katie tur give rob reiner a platform an actor and hollywood he… 
336, it's an an ad by sanders pretending obama has endorsed him it gets worse 
337, … 
338,yes exactly and we won’t be able to do that with sanders or warren i firmly believe that 
339," biden's on record as wanting a fence not a wall so way better than trump on that one
biden help… "
340, i hope elizabeth warren endorses bernie sanders
341,niggas really out here voting for bernie sanders on purpose
342,blue is sanders pink is biden something's going on he should not have jumped that far ahead this country's dele… 
343, sanders looking to get her support she might go support joe biden anything is possible at this moment
344,"so bernie sanders does not really have a campaign announcement

he just wants everyone's attention so he can contin… "
345, i really don’t think bernie will give up even if he doesn’t have the delegates unless he’s promise… 
346,more bernie sanders staff antisemitism: alison mortell the deputy national analytics director for sanders tweete… 
347, hey sanders bashers please take note that bernie isn’t yelling
348,amy goodman said earlier that african americans under were times as likely to vote for bernie sanders than joe… 
349,"""elizabeth warren is a very very excellent senator she has run a strong campaign she will make her own decision… "
350, let's say sanders won the presidency and dems took back the senate and kept the house does he really… 
351, let him explain his reasons for houses; that's definitely being rich sanders… 
352,cnbc: hillary clinton says bernie sanders did not get a real job until he was —here's a copy of his actual resume… 
353, he needs gabbard on the next debate she will eviscerate biden doing the work sanders is too nice to do
354, there simply is no path for sanders to the nomination
355, stacy abrams this way as biden’s health fails a woman of color with impressive credentials endorsed… 
356, and this is why biden will win no republican will vote for sanders
357, no she is not if she's performing at % or less sanders is losing… 
358, aa and elderly voters will come out for sanders… 
359,biden squeezes by sanders in maine extends sweep of wins (from ) 
360,okay sanders voted for affordable care act yrs ago almost to the day was it a watered down compromise that is… 
361,krystal ball: bernie sanders can still win here's how 
362, bernie sanders will not be a gracious loser
363,clyburn and bernie have worked together multiple times in congress bernie talked to him this election cycle too i… 
364, if something does not change trump will win more yrs biden will never beat trump he ca… 
365,if sanders can not win me over in the primary stage that is entirely his fault not warren's
366, _ answer me one final question if sanders’ and corbyn’s ideologies are so far apart w… 
367,the real badasses of super tuesday: joe biden’s wife and his adviser 
368, twitter feuds aside there's been a huge amount of voter outreach from the sanders campaign and i do not… 
369,thank you we absolutely cannot let the trainwreck that is joe biden be nominated and lose to trump furthermore h… 
370,"no “tio bernie” is not bringing out millions of latinos to vote

no data exist to show that waves of latinos are s… "
371,poor bernie sanders done in by southern black dems who mimic poor white repubs and vote against their own best int… 
372,_muse you were talking about bernie sanders then deci… 
373, they draw from a similar pool among progressive educated people but sanders draws from the k or… 
374,bernie sanders is always the victim 
375, if bernie sanders was trying to make a power grab why would he deliberately… 
376, we're pulling for whomever dem nominee ultimately is but think it is worth pondering that… 
377,one of my intense frustrations with this primary is that there are plenty of reasons to prefer sanders to biden and… 
378," ""sanders' message is good"" = ""biden's message is bad in th… "
379, mike bloomberg was dest… 
380, him clear out too easy i been expect am to give biden and sanders a run to the end
381," well this is the results in texas with % reporting: 
biden: % 
sanders: % 
bloo… "
382, this is richa loss prevention manager is backing biden who w/ the dnc… 
383, this is normal campaign strat stop scapegoating sanders lost epicly thats all
384, sanders has the lead in pueblo county now
385,bernie sanders thinking about me alotttttt✨✨✨ 
386," march chris cillizza published: ""and there's virtually no scenario i can imagine where sanders does… "
387, also it’s optimistic of to presume that if warren dropped out she would endorse sander… 
388, we did defeat her now we’re trying to defeat biden she might be useful in doing that you all should mak… 
389,bernie sanders is so entitled lol 🤦🏾‍♂️
390, and/but clinton beat sanders in by a margin of % to % (after the rally in springf… 
391,_christman _ill that kind of negativity is going to come out of the trump campaign no matte… 
392, exactly and it works because they can pinpoint districts with alot of poc (the few gop votes… 
393,_hartmann how is bernie going to win if the young people do not want to get out and vote or we will be stuck wi… 
394,"it's very suspicious wall street does not like sanders markets crash so people freak out and go to biden

bernieforpresident"
395,_amene symone sanders needs to regroup and strategize
396, old fart sanders and his antiamerican ways are toast he is done
397,sanders makes clear the differences between him and biden's campaign specifically in voting records once again de… 
398, it occurs to me bernie sanders is a matter of framing the dnc could if it wanted to frame sanders in such a w… 
399,"bernie sanders reminds me of donald trump
whine whine whine always whining
i choose not to vote for whiners "
400, a lot of people are saying this not just sanders supporters
401, what i do not understand is why commentators are not saying or realizing that biden’s surge is becau… 
402,_ntologist a lot of people who liked both already left warren for sanders before ia so the pool is less ideo… 
403, _gracchus_ yeah particularly since i have some hope that she would basically step in and run things… 
404,bernie sanders just called this website twitterworld and i too will be referring to it as such from now on
405, wow bernie did not even mention warren i guess there's at least one woman that sanders believes cannot be president
406,is it only me but are you not tired of sanders blaming everyone except his on policy no one wants a revolution we… 
407,if sanders and his supporters had realized this four years ago and spent the intervening period building relationsh… 
408, sanders might just vote trump before biden
409,_rankin i'm just going to give you the exit polling and let you do the math african america… 
410, this your supposed ideal candidate (sanders) is on the ballot you've got to show up to sup… 
411,balanced article uncharacteristic of the guardian on bernie 
412,super tuesday: biden wins states sanders takes california 
413, how is that the “system” it’s simply how it works in the real world from warrens point of view sander… 
414, good journalism would ask sanders how he pays for his mfa plan as a voter i do not want to kno… 
415, sanders performed way stronger than warren has years ago won several ear… 
416, this leadership comes from the top all of biden's career he has reached out and built relationships b… 
417, it’s sad that the democratic party isn’t open to change it’s evident based on the lack of support for… 
