,text
319,"supertuesday could this happen ↙️

a brokeredconvention (closely related to a contested convention) can occ… "
320, wins oklahoma tennessee and massachusetts gop presidential primary reports ap supertuesday 
321,today’s accessory is brought to you by democracy🇺🇸 supertuesday vote 
322,someone point me in the direction of an article why % is the viability threshold i can not seem to find anything… 
323, or obamacare that covered testing & treatment for things like coronavirus & ebola trump got rid o… 
324,"hiya twitter here's my supertuesday advice:

you're welcome

almost forgot: if you're on line stay on line… "
325,if everyone who said they were voting for biden because they don’t think warren could win actually voted for warren… 
326,"god damn they really did a number on bernie 

the house always wins in the end 😔

supertuesday"
327,for all those democrats preaching to republicans about oldwhitemen your top three candidates are… 
328,way to go democrat americans you never cease to surprise the world with your stupidity biden’s in the lead 😂😂… 
329," next campaign ad: 

i spent half a billion dollars and all i got was american samoa
supertuesday… "
330,america right now on many many levels supertuesday coronaoutbreak supertuesday covid_ biden… 
331,tulsi won a delegate that is a low low moment for america supertuesday supertuesday
332," and this is front runner lol
supertuesday supertuesday"
333,i’m seeing from the results on joe biden leads in states where he’s leading by less than a percentage… 
334, martinis in and watching the supertuesday results roll in this should be fun 🍸
335,"who run it 🏃 🤷🏻‍♂️

nashvillestrong 
texasprimary 
supertuesday 
iheartawards "
336,people please trust me biden is not gonna beat dumptrump we got to go with bernie hes da only capable to gi… 
337,and they are closed polls in boston are tallying up ward precinct in eastie eastboston are here mapoli… 
338,it’s supertuesday vote sanfrancisco this is what democracy looks like ⁦⁩ ⁦⁩ 
339,bernie and biden tied in ok as well supertuesday supertuesday
340,"from website: how many cases in california yes 
coronavirus cdcmustact fml covid ironic… "
341,"supertuesday race results: 
supertuesday supertuesday decision"
342, machines were out i got the impression people did what they were most comfortable with touchscreen w… 
343,"who are these people who’re voting for bloomberg 😳

supertuesday"
344,no preference currently leading the libertarian ncprimary supertuesday supertuesday 
345,this is your fate if you vote for joe biden please do not listen to celebrities think about your future bette… 
346,"calling a state when % of the votes have been counted is meant to discourage those who have not voted

do not give up

supertuesday"
347,oh dear god yeeees would be fun seeing her in the debates again she does not stand a chance of winning but man w… 
348,well this is what the dems have been reduced to biden v sanders what a time to be alive supertuesday 
349, it's a well known fact the the south & midwest is not ready or willing to vote for a socialist… 
350," mikebloomberg 
being disgusting 
that's how billionaires eat
during the coronavirusoutbreak

supertuesday"
351,better luck next time supertuesday supertuesday supertuesdayresults 
352,the understatement of the night is how bad elizabethwarren screwed berniesanders and progressives by not dropping… 
353,four score more for trump if biden takes nomination i'm calling it biden will get the same amount of enthusiasm a… 
354,ok i do not want to vote for in november; as a health care provider i have really big concerns about his… 
355,as much i want bernie sanders to win it all it looks like joe biden will win it all for democratic presidential ca… 
356,trying to vote again supertuesday but the lines are long 
357,nice tonight on the treadmill while watching the primary results garmin beatyesterday primaries… 
358,"here's me endorsing and his assessment of neocon piece of shit david frum

 you're a neocon p… "
359,lol they want biden to win so badly they can not report using berniesanders name it's suppose to bernie has the la… 
360,okay but why the fuck would you vote for someone that has dropped out why even show up at all supertuesday
361, supertuesday has never determined the national outcome never it's why… 
362,still lots of states to play for and delegate rich california which is chasing the primaries… 
363,"stay in line people make your voice heard ✊🏾✊🏾✊🏾

can’t wait to be come a citizen so i can tweet ivoted… "
364,supertuesday savings on our silver pack get each of our xpuregold super mg ultimate deep healing pai… 
365,"keep voting the msm just pulled back nc they are paying games with you

voteforbernie votebernie supertuesday supertuesday"
366,_sellers bernie sanders need to drop out with added pressure like it was done to kamala harris and amy klobu… 
367,did you vote spying on us on supertuesday street view on the streets of berkeley technology… 
368,will drop out tonight supertuesday supertuesday democraticprimary
369,"reupping this because it's accurate

supertuesday supertuesday biden trump "
370, ut (austin) and all the californians moving in are to blame if you ask me supertuesday
371,guess what i won from the claw machine lol =d supertuesday supertuesday 
372,american samoa has spoken🥴 supertuesday supertuesday 
373,"bloomberg in play in tn is interesting

supertuesday supertuesdayresults supertuesday bernie ivoted… "
374,bernie and amy currently have the same vote % in alabama (amy dropped out) not good supertuesday supertuesday
375,"hey here's an idea: 
just because we are all anxious to find out the supertuesday results it's probably best… "
376,exactly why i voted for her tulsi istandwithtulsi tulsimediablackout tulsiforpresident supertuesday… 
377,for the life of me i absolutely hate how they split up the delegates u win u should get all the delegates that s… 
378,"it's the people vs those with power those with money those with the media the establishment and the elites

it'… "
379,biden is kicking ass on supertuesday countdown to berniebros talking about conspiracy theories in … 
380,"you can still vote until pm 
in line by pm supertuesday supertuesday presidentialprimary presidential"
381,i happily voted for warren in the minnesotaprimary today elizabethwarren on supertuesday… 
382,first results coming in: jacob hornberger () and withdrawn kim ruff are neck and neck in the… 
383,"breaking news: joe biden has picked up his rd win in alabama
supertuesday supertuesday"
384," is winning super tuesday by a blowout

if he does keep this up by the end of super tuesday he may surpass… "
385,so northcarolina virginia just voted biden so you can say goodbye to legalweed if biden is the nominee… 
386,it's super tuesday evening i have been looking forward to watching the results roll in all day long and have… 
387, daddy stable genius is going to lose bigly in november biden supertuesday
388,"breaking:
no exit poll from texas
texasprimary supertuesday supertuesday"
389,southcarolina & looking like the real king 👑 maker 🇺🇸 democraticprimary supertuesday… 
390,i'm just going to binge some early s action movies to lighten the mood until this is all over supertuesday mood
391, beep beep minimike supertuesday supertuesday 
