,text
396, demographic statistics show worse numbers warren’s predominant demographic base is very… 
397, his tweet bout warren really got me lol
398, they have to unite now i'm mad at many of the ways that warren attacked bernie but fuck it let's win
399,_function _rupar i hope warren drops out and endorses biden as i’m not much of a… 
400, so you’d rather not vote and let a literal facist despot remain in power completely unchec… 
401,_ so why aren’t candidates holding universi… 
402,and yes i hate warren's guts but here's the thing you guys do not and you believe that she's progressive and that w… 
403," sanders and warren lose to trump

just being honest i’m a warren supporter"
404,warren will do what she thinks is best i do think if she came out strong for sanders said this is a choice betwee… 
405, i absolutely cannot wrap my head around warren supporters backing biden but that seems to be the case 🤷‍♂️
406, i do not think warren is a fool i think she's a very successful opportunist… 
407,"“it will be hard to get over what happened to elizabeth warren” by 
"
408, this is right thing to do by warren
409, orrrrrr maybe in light of candidates consolidating the moderate vote we assumed warren wanted a sh… 
410,_petkanas warren is out of her mind to tie herself to sanders
411,this is what happens when you have government in the pocket of the super rich and big corporations we need elizab… 
412, warren is a neobrandeisian sanders is a social democrat 
413, a big part of biden’s win had nothing to do with biden bernie’s progressive… 
414, you don’t represent my interests half so… 
415, people on twitter are saying she might be his vp choice to combine the sanders/warren teams
416, that's a very sexist of you to say so according to dinner warren stan
417,if there is any truth to the rumor that warren might endorse bernie they better postpone the new chapo episode until we find out lol
418,"""elizabeth warren is very popular with people like us the reality is that there aren’t that many people like us""… "
419, sanders is not as many of warren voters' second choice as sanders voters think
420, first the concept of splitting the vote is an establishment dem ploy to reduce the fiel… 
421, “warren far too competent for america”
422, _europa yep i like bernie’s ideas but they’re just th… 
423,is there anyone who doesn’t believe the biden camp is paying elizabeth warren to stay in the race to take primary v… 
424, last thing we need is bernie and warren tag teaming biden on tv time to move forward there is… 
425,i loved elizabeth warren but i’m such a feminist i will not endorse the man fighting for women’s rights and instead… 
426,warren supporters: team bernie is ready to welcome you with love and open arms biden is also ready to embrace you… 
427, i voted for sanders in the primary and by the time of the general election i swore i could never v… 
428, but warren’s folks also talked to biden
429,asking warren to fuk off is not anti feminist either 
430,"as an elizabeth warren fan super tuesday was a huge disappointment for me
it has become clear i will have to eith… "
431,"if biden gets the primary he should make warren his running mate 
warrenbiden teamup beattrump"
432,me neither just relaying what i saw earlier from a spokesman on i know quite a few in our stillwithhill c… 
433,a reminder that all of the egotripping yearolds who should be retired (not risking term presidencies) enter… 
434," there's no guarantee warren voters go to sanders i'm one of them

i'll votebluenomatterwho bu… "
435, cos talking about plans freakin bores people to tears look what it’s done to warren
436, here’s what i am wondering: were there warren voters who moved to bernie which were the difference between her viability
437,i wouldn’t be utterly shocked to hear about a berniewarren ticket
438, i support warren don’t think she should be pressured to drop out and suspect her voters would sp… 
439,i’m sorry but having biden and sanders come out and say they don’t want “personal attacks” after letting warren be… 
440, or warren
441,warren voters spent so much time telling people that we should vote for her cuz her policies were just like sanders… 
442," i was a ""draft warren "" person
sadly i do not think she's going to be moving in the direction you wa… "
443, yes i’m warren now with biden it was so close i almost couldn’t decide between the two extremel… 
